seed,local,quantile,model,lambda,d_model,er_loss,batch_size,no_epochs,rank_loss,sdfa_ce,avg_beam_dl_distance,avg_dl_distance,time,er_pred,er_target
56,TRUE,0.8,SDFA_suffix_model,0.5,32,TRUE,32,50,FALSE,TRUE,0.22183645,0.377419509,3.22719128,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,32,TRUE,64,50,FALSE,TRUE,0.218038648,0.373211881,2.096068695,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,32,TRUE,128,50,FALSE,TRUE,0.197167067,0.37358735,1.535110512,0,0
56,FALSE,0.8,SDFA_suffix_model,0.1,64,TRUE,128,50,FALSE,FALSE,0.207319598,0.387210426,1.289026502,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,64,TRUE,32,50,FALSE,FALSE,0.2276556,0.391594559,3.208101149,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,64,TRUE,64,50,FALSE,FALSE,0.231687945,0.388999063,2.10289064,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,64,TRUE,128,50,FALSE,FALSE,0.214482531,0.388399175,1.548435002,0,0
56,FALSE,0.8,SDFA_suffix_model,0.1,64,TRUE,128,50,FALSE,TRUE,0.205020166,0.385102254,1.28834066,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,64,TRUE,32,50,FALSE,TRUE,0.2427427,0.391155857,3.221781428,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,64,TRUE,64,50,FALSE,TRUE,0.215798835,0.383353343,2.093001095,0,0
56,TRUE,0.8,SDFA_suffix_model,0.1,64,TRUE,128,50,FALSE,TRUE,0.207169309,0.383462741,1.5510486,0,0
56,FALSE,0.8,SDFA_suffix_model,0.2,64,TRUE,128,50,FALSE,FALSE,0.212674023,0.385289976,1.290133809,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,64,TRUE,32,50,FALSE,FALSE,0.222561791,0.383392209,3.209739782,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,64,TRUE,64,50,FALSE,FALSE,0.225611285,0.383572353,2.091355329,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,64,TRUE,128,50,FALSE,FALSE,0.191638303,0.383382999,1.551858381,0,0
56,FALSE,0.8,SDFA_suffix_model,0.2,64,TRUE,128,50,FALSE,TRUE,0.204683308,0.389752836,1.290104159,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,64,TRUE,32,50,FALSE,TRUE,0.209171063,0.37777525,3.219541939,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,64,TRUE,64,50,FALSE,TRUE,0.236458628,0.394049774,2.092259879,0,0
56,TRUE,0.8,SDFA_suffix_model,0.2,64,TRUE,128,50,FALSE,TRUE,0.19811472,0.381962959,1.551945377,0,0
56,FALSE,0.8,SDFA_suffix_model,0.5,64,TRUE,128,50,FALSE,FALSE,0.205366932,0.383324035,1.293112235,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,64,TRUE,32,50,FALSE,FALSE,0.208430079,0.372380288,3.204347065,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,64,TRUE,64,50,FALSE,FALSE,0.230417774,0.390318451,2.087155911,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,64,TRUE,128,50,FALSE,FALSE,0.190545338,0.37600478,1.552541958,0,0
56,FALSE,0.8,SDFA_suffix_model,0.5,64,TRUE,128,50,FALSE,TRUE,0.192727183,0.379023272,1.291802216,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,64,TRUE,32,50,FALSE,TRUE,0.215449873,0.371020877,3.235742604,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,64,TRUE,64,50,FALSE,TRUE,0.213745458,0.377364397,2.104200214,0,0
56,TRUE,0.8,SDFA_suffix_model,0.5,64,TRUE,128,50,FALSE,TRUE,0.179391903,0.369762464,1.553945581,0,0
56,FALSE,0.8,suffix_model,0,16,FALSE,128,50,TRUE,FALSE,0.629974318,0.707394379,1.587498766,0,0
56,FALSE,0.8,suffix_model,0,16,FALSE,128,50,FALSE,FALSE,0.194551571,0.378455478,1.231094449,0,0
56,FALSE,0.8,suffix_model,0,32,FALSE,128,50,TRUE,FALSE,0.416511107,0.681679807,1.598475156,0,0
56,FALSE,0.8,suffix_model,0,32,FALSE,128,50,FALSE,FALSE,0.192044862,0.375238871,1.228496201,0,0
56,FALSE,0.8,suffix_model,0,64,FALSE,128,50,TRUE,FALSE,0.421626241,0.652462038,1.613977544,0,0
56,FALSE,0.8,suffix_model,0,64,FALSE,128,50,FALSE,FALSE,0.190091082,0.375042323,1.261770857,0,0
8,FALSE,0.8,SDFA_suffix_model,0.1,16,TRUE,128,50,FALSE,FALSE,0.22591684,0.392569239,1.278618331,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,32,50,FALSE,FALSE,0.248253308,0.389057579,3.202363988,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,64,50,FALSE,FALSE,0.237216101,0.397321395,2.082870723,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,128,50,FALSE,FALSE,0.220000597,0.396413157,1.545981783,0,0
8,FALSE,0.8,SDFA_suffix_model,0.1,16,TRUE,128,50,FALSE,TRUE,0.210134612,0.395501398,1.286028276,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,32,50,FALSE,TRUE,0.234429679,0.397483902,3.190883057,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,64,50,FALSE,TRUE,0.230606255,0.394978691,2.093797955,0,0
8,TRUE,0.8,SDFA_suffix_model,0.1,16,TRUE,128,50,FALSE,TRUE,0.209097356,0.394948738,1.559850216,0,0
8,FALSE,0.8,SDFA_suffix_model,0.2,16,TRUE,128,50,FALSE,FALSE,0.205555658,0.390574396,1.279534558,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,32,50,FALSE,FALSE,0.222388297,0.391609864,3.181920737,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,64,50,FALSE,FALSE,0.23056717,0.390353427,2.08050575,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,128,50,FALSE,FALSE,0.210259761,0.391178386,1.539542685,0,0
8,FALSE,0.8,SDFA_suffix_model,0.2,16,TRUE,128,50,FALSE,TRUE,0.212126213,0.392600588,1.282464839,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,32,50,FALSE,TRUE,0.230021406,0.397131848,3.205400652,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,64,50,FALSE,TRUE,0.215935701,0.390391019,2.094428976,0,0
8,TRUE,0.8,SDFA_suffix_model,0.2,16,TRUE,128,50,FALSE,TRUE,0.197199721,0.39108038,1.541364271,0,0
8,FALSE,0.8,SDFA_suffix_model,0.5,16,TRUE,128,50,FALSE,FALSE,0.195776937,0.381020975,1.282002083,0,0
8,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,32,50,FALSE,FALSE,0.225829568,0.393044472,3.188836338,0,0
8,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,64,50,FALSE,FALSE,0.212993057,0.390357446,2.072010766,0,0
8,TRUE,0.8,SDFA_suffix_model,0.5,16,TRUE,128,50,FALSE,FALSE,0.191485122,0.380106641,1.538939294,0,0
